gtap_code,bea_code,bea_description
B_T,311910,Snack food manufacturing
B_T,311920,Coffee and tea manufacturing
B_T,311930,Flavoring syrup and concentrate manufacturing
B_T,311940,Seasoning and dressing manufacturing
B_T,311990,All other food manufacturing
B_T,312110,Soft drink and ice manufacturing
B_T,312120,Breweries
B_T,312130,Wineries
B_T,312140,Distilleries
B_T,312200,Tobacco manufacturing
PCR,311111,Dog and cat food manufacturing
PCR,311119,Other animal food manufacturing
PCR,311210,Flour milling and malt manufacturing
PCR,311221,Wet corn milling
PCR,311224,Soybean and other oilseed processing
PCR,311225,Fats and oils refining and blending
PCR,311230,Breakfast cereal manufacturing
PCR,311300,Sugar and confectionery product manufacturing
PCR,311410,Frozen food manufacturing
PCR,311420,"Fruit and vegetable canning, pickling, and drying"
PCR,31151A,Fluid milk and butter manufacturing
PCR,311513,Cheese manufacturing
PCR,311514,"Dry, condensed, and evaporated dairy product manufacturing"
PCR,311520,Ice cream and frozen dessert manufacturing
PCR,31161A,"Animal (except poultry) slaughtering, rendering, and processing"
PCR,311615,Poultry processing
PCR,311700,Seafood product preparation and packaging
PCR,311810,Bread and bakery product manufacturing
PCR,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
PCR,311910,Snack food manufacturing
PCR,311920,Coffee and tea manufacturing
PCR,311930,Flavoring syrup and concentrate manufacturing
PCR,311940,Seasoning and dressing manufacturing
PCR,311990,All other food manufacturing
PCR,312110,Soft drink and ice manufacturing
PCR,312120,Breweries
PCR,312130,Wineries
PCR,312140,Distilleries
PCR,312200,Tobacco manufacturing
TEX,313100,"Fiber, yarn, and thread mills"
TEX,313200,Fabric mills
TEX,313300,Textile and fabric finishing and fabric coating mills
TEX,314110,Carpet and rug mills
TEX,314120,Curtain and linen mills
TEX,314900,Other textile product mills
WAP,315000,Apparel manufacturing
WAP,316000,Leather and allied product manufacturing
LEA,315000,Apparel manufacturing
LEA,316000,Leather and allied product manufacturing
LUM,321100,Sawmills and wood preservation
LUM,321200,"Veneer, plywood, and engineered wood product manufacturing"
LUM,321910,Millwork
LUM,3219A0,All other wood product manufacturing
PPP,322110,Pulp mills
PPP,322120,Paper mills
PPP,322130,Paperboard mills
PPP,322210,Paperboard container manufacturing
PPP,322220,Paper bag and coated and treated paper manufacturing
PPP,322230,Stationery product manufacturing
PPP,322291,Sanitary paper product manufacturing
PPP,322299,All other converted paper product manufacturing
P_C,324110,Petroleum refineries
P_C,324121,Asphalt paving mixture and block manufacturing
P_C,324122,Asphalt shingle and coating materials manufacturing
P_C,324190,Other petroleum and coal products manufacturing
CHM,325110,Petrochemical manufacturing
CHM,325120,Industrial gas manufacturing
CHM,325130,Synthetic dye and pigment manufacturing
CHM,325180,Other basic inorganic chemical manufacturing
CHM,325190,Other basic organic chemical manufacturing
CHM,325211,Plastics material and resin manufacturing
CHM,3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing
CHM,325411,Medicinal and botanical manufacturing
CHM,325412,Pharmaceutical preparation manufacturing
CHM,325413,In-vitro diagnostic substance manufacturing
CHM,325414,Biological product (except diagnostic) manufacturing
CHM,325310,Fertilizer manufacturing
CHM,325320,Pesticide and other agricultural chemical manufacturing
CHM,325510,Paint and coating manufacturing
CHM,325520,Adhesive manufacturing
CHM,325610,Soap and cleaning compound manufacturing
CHM,325620,Toilet preparation manufacturing
CHM,325910,Printing ink manufacturing
CHM,3259A0,All other chemical product and preparation manufacturing
BPH,325110,Petrochemical manufacturing
BPH,325120,Industrial gas manufacturing
BPH,325130,Synthetic dye and pigment manufacturing
BPH,325180,Other basic inorganic chemical manufacturing
BPH,325190,Other basic organic chemical manufacturing
BPH,325211,Plastics material and resin manufacturing
BPH,3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing
BPH,325411,Medicinal and botanical manufacturing
BPH,325412,Pharmaceutical preparation manufacturing
BPH,325413,In-vitro diagnostic substance manufacturing
BPH,325414,Biological product (except diagnostic) manufacturing
BPH,325310,Fertilizer manufacturing
BPH,325320,Pesticide and other agricultural chemical manufacturing
BPH,325510,Paint and coating manufacturing
BPH,325520,Adhesive manufacturing
BPH,325610,Soap and cleaning compound manufacturing
BPH,325620,Toilet preparation manufacturing
BPH,325910,Printing ink manufacturing
BPH,3259A0,All other chemical product and preparation manufacturing
RPP,326110,Plastics packaging materials and unlaminated film and sheet manufacturing
RPP,326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing"
RPP,326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing"
RPP,326140,Polystyrene foam product manufacturing
RPP,326150,Urethane and other foam product (except polystyrene) manufacturing
RPP,326160,Plastics bottle manufacturing
RPP,326190,Other plastics product manufacturing
RPP,326210,Tire manufacturing
RPP,326220,Rubber and plastics hoses and belting manufacturing
RPP,326290,Other rubber product manufacturing
NMM,327100,Clay product and refractory manufacturing
NMM,327200,Glass and glass product manufacturing
NMM,327310,Cement manufacturing
NMM,327320,Ready-mix concrete manufacturing
NMM,327330,"Concrete pipe, brick, and block manufacturing"
NMM,327390,Other concrete product manufacturing
NMM,327400,Lime and gypsum product manufacturing
NMM,327910,Abrasive product manufacturing
NMM,327991,Cut stone and stone product manufacturing
NMM,327992,Ground or treated mineral and earth manufacturing
NMM,327993,Mineral wool manufacturing
NMM,327999,Miscellaneous nonmetallic mineral products
I_S,331110,Iron and steel mills and ferroalloy manufacturing
I_S,331200,Steel product manufacturing from purchased steel
I_S,331313,Alumina refining and primary aluminum production
I_S,33131B,Aluminum product manufacturing from purchased aluminum
I_S,331410,Nonferrous metal (except aluminum) smelting and refining
I_S,331420,"Copper rolling, drawing, extruding and alloying"
I_S,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying"
I_S,331510,Ferrous metal foundries
I_S,331520,Nonferrous metal foundries
NFM,331110,Iron and steel mills and ferroalloy manufacturing
NFM,331200,Steel product manufacturing from purchased steel
NFM,331313,Alumina refining and primary aluminum production
NFM,33131B,Aluminum product manufacturing from purchased aluminum
NFM,331410,Nonferrous metal (except aluminum) smelting and refining
NFM,331420,"Copper rolling, drawing, extruding and alloying"
NFM,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying"
NFM,331510,Ferrous metal foundries
NFM,331520,Nonferrous metal foundries
FMP,33211A,"All other forging, stamping, and sintering"
FMP,332114,Custom roll forming
FMP,332119,"Metal crown, closure, and other metal stamping (except automotive)"
FMP,332200,Cutlery and handtool manufacturing
FMP,332310,Plate work and fabricated structural product manufacturing
FMP,332320,Ornamental and architectural metal products manufacturing
FMP,332410,Power boiler and heat exchanger manufacturing
FMP,332420,Metal tank (heavy gauge) manufacturing
FMP,332430,"Metal can, box, and other metal container (light gauge) manufacturing"
