summary_code,detail_code,detail_description
3364OT,336414,Guided missile and space vehicle manufacturing
3364OT,33641A,Propulsion units and parts for space vehicles and guided missiles
3364OT,336500,Railroad rolling stock manufacturing
3364OT,336611,Ship building and repairing
3364OT,336612,Boat building
3364OT,336991,"Motorcycle, bicycle, and parts manufacturing"
3364OT,336992,"Military armored vehicle, tank, and tank component manufacturing"
3364OT,336999,All other transportation equipment manufacturing
337,337110,Wood kitchen cabinet and countertop manufacturing
337,337121,Upholstered household furniture manufacturing
337,337122,Nonupholstered wood household furniture manufacturing
337,337127,Institutional furniture manufacturing
337,33712N,Other household nonupholstered furniture
337,337215,"Showcase, partition, shelving, and locker manufacturing"
337,33721A,Office furniture and custom architectural woodwork and millwork manufacturing
337,337900,Other furniture related product manufacturing
339,339112,Surgical and medical instrument manufacturing
339,339113,Surgical appliance and supplies manufacturing
339,339114,Dental equipment and supplies manufacturing
339,339115,Ophthalmic goods manufacturing
339,339116,Dental laboratories
339,339910,Jewelry and silverware manufacturing
339,339920,Sporting and athletic goods manufacturing
339,339930,"Doll, toy, and game manufacturing"
339,339940,Office supplies (except paper) manufacturing
339,339950,Sign manufacturing
339,339990,All other miscellaneous manufacturing
42,4200ID,Customs duties
42,423100,Motor vehicle and motor vehicle parts and supplies
42,423400,Professional and commercial equipment and supplies
42,423600,Household appliances and electrical and electronic goods
42,423800,"Machinery, equipment, and supplies"
42,423A00,Other durable goods merchant wholesalers
42,424200,Drugs and druggists' sundries
42,424400,Grocery and related product wholesalers
42,424700,Petroleum and petroleum products
42,424A00,Other nondurable goods merchant wholesalers
42,425000,Wholesale electronic markets and agents and brokers
441,441000,Motor vehicle and parts dealers
4A0,444000,Building material and garden equipment and supplies dealers
445,445000,Food and beverage stores
4A0,446000,Health and personal care stores
4A0,447000,Gasoline stations
4A0,448000,Clothing and clothing accessories stores
452,452000,General merchandise stores
4A0,454000,Nonstore retailers
481,481000,Air transportation
482,482000,Rail transportation
483,483000,Water transportation
484,484000,Truck transportation
485,485000,Transit and ground passenger transportation
486,486000,Pipeline transportation
487OS,48A000,Scenic and sightseeing transportation and support activities
GFE,491000,Postal service
487OS,492000,Couriers and messengers
493,493000,Warehousing and storage
4A0,4B0000,All other retail
511,511110,Newspaper publishers
511,511120,Periodical publishers
511,511130,Book publishers
511,5111A0,"Directory, mailing list, and other publishers"
511,511200,Software publishers
512,512100,Motion picture and video industries
512,512200,Sound recording industries
513,515100,Radio and television broadcasting
513,515200,Cable and other subscription programming
513,517110,Wired telecommunications carriers
513,517210,Wireless telecommunications carriers (except satellite)
513,517A00,"Satellite, telecommunications resellers, and all other telecommunications"
514,518200,"Data processing, hosting, and related services"
514,519130,Internet publishing and broadcasting and Web search portals
514,5191A0,"News syndicates, libraries, archives and all other information services"
521CI,522A00,Nondepository credit intermediation and related activities
523,523900,Other financial investment activities
523,523A00,Securities and commodity contracts intermediation and brokerage
524,524113,Direct life insurance carriers
524,5241XX,"Insurance carriers, except direct life"
524,524200,"Insurance agencies, brokerages, and related activities"
525,525000,"Funds, trusts, and other financial vehicles"
521CI,52A000,Monetary authorities and depository credit intermediation
HS,531HSO,Owner-occupied housing
HS,531HST,Tenant-occupied housing
ORE,531ORE,Other real estate
532RL,532100,Automotive equipment rental and leasing
532RL,532400,Commercial and industrial machinery and equipment rental and leasing
532RL,532A00,General and consumer goods rental
532RL,533000,Lessors of nonfinancial intangible assets
5411,541100,Legal services
5412OP,541200,"Accounting, tax preparation, bookkeeping, and payroll services"
5412OP,541300,"Architectural, engineering, and related services"
5412OP,541400,Specialized design services
5415,541511,Custom computer programming services
5415,541512,Computer systems design services
5415,54151A,"Other computer related services, including facilities management"
5412OP,541610,Management consulting services
5412OP,5416A0,Environmental and other technical consulting services
5412OP,541700,Scientific research and development services
5412OP,541800,"Advertising, public relations, and related services"
5412OP,541920,Photographic services
5412OP,541940,Veterinary services
5412OP,5419A0,"All other miscellaneous professional, scientific, and technical services"
55,550000,Management of companies and enterprises
561,561100,Office administrative services
561,561200,Facilities support services
561,561300,Employment services
561,561400,Business support services
561,561500,Travel arrangement and reservation services
561,561600,Investigation and security services
561,561700,Services to buildings and dwellings
561,561900,Other support services
562,562000,Waste management and remediation services
61,611100,Elementary and secondary schools
61,611A00,"Junior colleges, colleges, universities, and professional schools"
61,611B00,Other educational services
621,621100,Offices of physicians
621,621200,Offices of dentists
621,621300,Offices of other health practitioners
621,621400,Outpatient care centers
621,621500,Medical and diagnostic laboratories
621,621600,Home health care services
621,621900,Other ambulatory health care services
622,622000,Hospitals
623,623A00,Nursing and community care facilities
623,623B00,"Residential mental health, substance abuse, and other residential care facilities"
624,624100,Individual and family services
624,624400,Child day care services
