row,gtap_code,price_effect,share,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
14,frs,1.72,4.45462269031501e-5,2.802507836990596,2.9942138082130216,3.1439253153763747,3.1890005369333436,2.8689129970949794,3.336188436830835,3.641554361512473,3.2288768487333432,3.4760232349563718,3.188240631120061
15,fsh,3.07,3.3342252145657274e-4,3.2163009404388716,2.384697488905118,2.606091082008789,2.4986576666410985,2.1812273301711826,2.7865810135617415,2.868612319698802,2.7948036734096187,2.522149484924939,2.6366744487104303
16,coa,0.47,1.2158605974192707e-6,14.774294670846395,14.372788045615415,16.224666039922166,15.732146966326608,18.7989299020171,17.651677373304782,18.419707528704823,17.83256280986549,18.126954058154446,15.997078967459254
17,oil,0.38,7.811793546154577e-9,8.655172413793103,12.086399640469637,9.757537331380222,10.029147810079007,9.05644274483415,8.548179871520343,8.214379215339159,7.7704328180239735,6.875770097985801,6.11646510804501
18,gas,0.8,4.598968110100061e-6,4.598746081504702,3.9941576315937306,4.9935503618356325,4.188080079772954,3.945575998293095,4.329764453961456,4.206300724321494,4.566658996297304,5.025020326395816,5.418294072738136
19,oxt,1.01,1.9565162730140516e-5,2.61928541512291,1.1496088136675715,1.015705400689069,1.2502876428626217,1.4607165717474437,1.8087080656673804,1.1469462555944796,1.4978139447315022,1.7308869014190758,4.124852012082453
20,cmt,1.32,0.005482903045887641,1.1849529780564263,1.3426212010561205,1.6200616541682153,1.4650638617580767,1.8447701422967717,1.5060670949321913,1.3838155909889918,1.4957220258142794,1.5196600253136971,1.3266356122550593
21,omt,1.41,0.004378222147619227,1.4231974921630095,2.7133307117577665,4.36607708957345,6.19199202270461,7.835349341036288,10.152748037116346,12.370812711156546,14.461435474760998,16.28207169978961,18.67303245222895
22,vol,2.17,7.356893278478131e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,mil,2.06,0.005225504899222244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,pcr,7.52,1.1074426677405778e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,sgr,2.17,0.0017867765151320402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,ofd,2.59,0.02092886061905997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,b_t,3.4,0.014174974256409007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,tex,10.26,0.0020134927910573216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,wap,15.04,0.00869826693927766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,lea,15.41,0.00348174905784987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,lum,3.74,3.782977450494551e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,ppp,2.7,0.002496889880682944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,p_c,0.56,0.010306476069366938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,chm,3.06,0.00552816179849828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,bph,1.04,0.013381526630256112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,rpp,6.41,0.003125833378237939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,nmm,6.01,8.577415413469271e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,i_s,6.81,5.1536955879564144e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,nfm,12.06,8.49224583206433e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,fmp,11.59,0.0013597960482699468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,ele,12.22,0.007153011250655257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,eeq,13.07,0.004657647674249792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,ome,9.57,7.694051790198152e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
